_time,_measurement,_field,_value
2023-07-06 12:35:36.058640+02:00,PC,GPU_temp,69.0
2023-07-06 12:35:46.128169+02:00,PC,GPU_temp,69.0
2023-07-06 12:35:57.262636+02:00,PC,GPU_temp,70.0
2023-07-06 12:36:07.304393+02:00,PC,GPU_temp,69.0
2023-07-06 12:36:18.404329+02:00,PC,GPU_temp,70.0
2023-07-06 12:36:28.787751+02:00,PC,GPU_temp,69.0
2023-07-06 12:36:38.805282+02:00,PC,GPU_temp,68.0
2023-07-06 12:36:49.965733+02:00,PC,GPU_temp,69.0
2023-07-06 12:37:00.282664+02:00,PC,GPU_temp,69.0
2023-07-06 12:37:10.347545+02:00,PC,GPU_temp,68.0
2023-07-06 12:37:21.459270+02:00,PC,GPU_temp,69.0
2023-07-06 12:37:31.533537+02:00,PC,GPU_temp,69.0
2023-07-06 12:37:42.638947+02:00,PC,GPU_temp,69.0
2023-07-06 12:37:52.707479+02:00,PC,GPU_temp,69.0
2023-07-06 12:38:03.812057+02:00,PC,GPU_temp,70.0
2023-07-06 12:38:13.880163+02:00,PC,GPU_temp,70.0
2023-07-06 12:38:24.995730+02:00,PC,GPU_temp,70.0
2023-07-06 12:38:35.054605+02:00,PC,GPU_temp,69.0
2023-07-06 12:38:46.149018+02:00,PC,GPU_temp,70.0
2023-07-06 12:38:56.188524+02:00,PC,GPU_temp,69.0
2023-07-06 12:39:07.274309+02:00,PC,GPU_temp,69.0
2023-07-06 12:39:17.377100+02:00,PC,GPU_temp,69.0
2023-07-06 12:39:28.478117+02:00,PC,GPU_temp,69.0
2023-07-06 12:39:38.834938+02:00,PC,GPU_temp,69.0
2023-07-06 12:39:48.904450+02:00,PC,GPU_temp,69.0
2023-07-06 12:40:00.037309+02:00,PC,GPU_temp,69.0
2023-07-06 12:40:10.117946+02:00,PC,GPU_temp,69.0
2023-07-06 12:40:21.242959+02:00,PC,GPU_temp,69.0
2023-07-06 12:40:31.321890+02:00,PC,GPU_temp,69.0
2023-07-06 12:40:42.373032+02:00,PC,GPU_temp,69.0
2023-07-06 12:40:52.716086+02:00,PC,GPU_temp,69.0
2023-07-06 12:41:02.780516+02:00,PC,GPU_temp,69.0
2023-07-06 12:41:13.909352+02:00,PC,GPU_temp,69.0
2023-07-06 12:41:23.973055+02:00,PC,GPU_temp,69.0
2023-07-06 12:41:35.075321+02:00,PC,GPU_temp,69.0
2023-07-06 12:41:45.159446+02:00,PC,GPU_temp,69.0
2023-07-06 12:41:56.215292+02:00,PC,GPU_temp,69.0
2023-07-06 12:42:06.330309+02:00,PC,GPU_temp,69.0
2023-07-06 12:42:17.464456+02:00,PC,GPU_temp,69.0
2023-07-06 12:42:27.529882+02:00,PC,GPU_temp,69.0
2023-07-06 12:42:38.581412+02:00,PC,GPU_temp,69.0
2023-07-06 12:42:48.637740+02:00,PC,GPU_temp,69.0
2023-07-06 12:42:59.762802+02:00,PC,GPU_temp,69.0
2023-07-06 12:43:10.172870+02:00,PC,GPU_temp,69.0
2023-07-06 12:43:20.220228+02:00,PC,GPU_temp,68.0
2023-07-06 12:43:31.366242+02:00,PC,GPU_temp,69.0
2023-07-06 12:43:41.412691+02:00,PC,GPU_temp,69.0
2023-07-06 12:43:52.499671+02:00,PC,GPU_temp,69.0
2023-07-06 12:44:02.572391+02:00,PC,GPU_temp,69.0
2023-07-06 12:44:13.707668+02:00,PC,GPU_temp,69.0
